plassering,adresse,pris,aapningstider_hverdag,aapningstider_loerdag,aapningstider_soendag,rullestol,stellerom,latitude,longitude,
Strandkaien,Strandkaien 4005 Stavanger,5,Døgnåpent,Døgnåpent,Døgnåpent,JA,JA,58.970154,5.730182,
Jorenholmsgata,Jorenholmsgata 4013 Stavanger,5,Døgnåpent,Døgnåpent,Døgnåpent,JA,JA,58.972081,5.737412,
Nedre Holmegate,Nedre Holmegate 4006 Stavanger,5,Døgnåpent,Døgnåpent,Døgnåpent,JA,JA,58.973244,5.731325,
Sølvberget,Sølvberggata 2 4006 Stavanger,0,08:00-22:00,10:00-23:00,12:00-22:00,JA ,JA,58.971253,5.733133,
Stavanger Jernbanestasjon,Jernbaneveien 3 4005 Stavanger,10,05:00-24:00,05:00-24:00,05:00-24:00,JA,JA,58.966974,5.732184,
Stavanger Byterminal,Jernbaneveien 9 4005 Stavanger,10,07:00-22:00,07:00-22:00,07:00-22:00,NEI,NEI,58.966797,5.733831,
Straen Senteret,Lars Hertevigs gate 6 4005 Stavanger,5,10:00-20:00,10:00-17:00,Stengt,JA,JA,58.969897,5.728472,
Amfi Madla,Madlakrossen 7 4042 Hafrsfjord,0,10:00-20:00,10:00-18:00,Stengt,JA,JA,58.952735,5.678274,
Tasta Senter,Tastatunet 1-3 4027 Stavanger,0,10:00-20:00,10:00-18:00,Stengt,JA,JA,58.984215,5.689236,
Hundvåg Senteret,Hundvågveien 49 4085 Hundvåg,0,09:00-19:00,09:00-17:00,Stengt,JA,NEI,58.993010,5.731121,
Kilden,Gartnerveien 15 4016 Stavanger,0,10:00-20:00,10:00-18:00,Stengt ,JA,JA,58.947889,5.739884,
Stadionparken ,Jåttåvågveien 7 4020 Stavanger,0,10:00-20:00,10:00-18:00,Stengt,JA,JA,58.914922,5.729226,
Ferjeterminalen,Fiskepiren 4013 Stavanger,10,06:30-23:00,06:30-23:00,06:30-23:00,JA,JA,58.972435,5.739930,
